Classification,Köppen-Geiger
Warm humid continental climate,Dfb
Humid subtropical climate,Cfa
Hot humid continental climate,Dfa
Tropical savanna climate,Aw
Hot semi-arid climates,BSh
Hot desert climates,BWh
Cold semi-arid climates,BSk
Tropical monsoon climate,Am
Hot-summer Mediterranean climate,Csa
Subtropical highland oceanic climate,Cwb
Tropical rainforest climate,Af
Warm-summer Mediterranean climate,Csb
Oceanic climate,Cfb
Humid subtropical climate,Cwa
Subarctic climate,Dfc
Warm humid continental climate,Dsb
Cold desert climates,BWk
Tundra climate,ET
Dry-summer maritime subalpine climate,Csc
Dry-summer subarctic climate,Dsc
Humid continental climate,Dwa
Tropical savanna climate,As
Hot humid continental climate,Dsa
Mediterranean climate,Cs
Warm humid continental climate,Dwb
Subpolar oceanic climate,Cfc